V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Fracaso
-0.032401,1.181659,0.100412,-0.248011,-0.016554,0.388042,0.511364,0.576951,0.653162,0.249811,1.129701,0.000621,-0.09623,91,1
-0.037202,0.592722,-0.326276,0.179451,-0.009371,0.920747,0.419836,0.008639,0.474837,-0.195546,0.809752,0.041965,0.292156,71,1
-0.035947,1.432384,0.29173,0.114632,-0.028651,0.16025,1.261636,0.079777,0.966432,-0.146411,0.754479,0.011391,-0.104385,62,1
-0.503734,0.583714,-0.611568,-1.214576,-0.435557,0.305022,0.56883,0.518033,0.857537,0.510298,1.987137,0.008507,-0.116695,71,1
-0.195803,0.967246,-0.017409,0.34952,-0.260373,0.478291,0.670329,0.085396,0.514083,-0.511085,0.616887,0.04803,-0.261257,59,1
-0.193589,4.527795,0.092838,0.052436,-0.190524,0.031968,4.37657,0.63415,0.119154,-0.570162,0.660466,0.091457,-0.05062,72,1
-0.085607,0.539689,-0.267728,-0.347772,-0.106084,1.319668,0.122857,0.280485,0.313896,-0.620827,0.862108,0.011643,-0.147328,47,1
0.007079,1.410677,0.250368,0.012003,0.060967,0.985916,1.000377,0.069776,0.860017,0.022081,0.679425,0.011957,-0.279864,16,1
0.142955,1.655172,0.355221,0.416781,0.212266,1.292294,1.652649,0,0.897401,0.312251,0.54218,0.046968,-0.11112,58,1
0.037757,1.071686,0.061671,0.093846,0.059103,0.917415,1.065316,0.036978,0.921966,0.367544,0.897273,0.025471,-0.461851,25,1
-0.010053,1.986228,0.24313,-0.033986,-0.028048,0.3172,1.561176,0.764565,0.489656,0.906415,1.011091,0.001945,0.070873,62,1
0.000341,1.304912,0.203208,-0.004027,0.045945,0.574091,0.344243,0.097164,0.869655,0.00144,0.763611,0.079168,-0.000891,13,1
0.211708,1.483071,0.250304,0.439191,0.185961,1.459038,1.469127,0.000246,0.768457,0.439592,0.518399,0.076444,0.452197,58,1
-0.080342,0.49149,-0.189898,0.245749,-0.069779,0.250302,0.175513,0.354358,0.183542,-0.295158,0.727798,0.001306,0.05371,22,1
-0.101068,1.034246,0.00656,-0.149144,-0.071587,0.355825,0.606152,0.735104,0.198104,-1.377866,0.926649,0.000089,-0.017846,16,1
-0.140153,1.080058,0.039615,0.067014,-0.146761,0.584182,0.587005,0.326627,0.534446,-0.78498,0.821457,0.024147,0.148634,24,1
0.219325,3.588155,0.396831,0.21932,0.358549,0.756946,2.003016,0.583304,0.550157,0.832764,0.73663,0.009696,0.494686,13,1
0.251808,0.960085,-0.033191,0.027481,0.366091,1.514289,0.915109,0.111796,0.798351,4.444085,0.943339,0.017706,0.222394,70,1
-0.147993,2.963216,0.601544,-0.168437,-0.186568,0.192797,2.461165,0.559191,0.907952,-1.101124,0.865598,0.007457,0.392812,41,1
0.404381,1.132276,0.035366,-0.808183,0.420146,0.249042,0.770642,1.216382,0.30273,-0.835936,1.483747,0.004374,0.336432,20,1
-0.175167,0.715906,-0.141196,-0.005555,-0.126874,1.459529,0.353113,0.448367,0.355809,-3.206588,0.945373,0.047323,0.041606,10,1
