V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Fracaso
0.051299,0.58309,-0.31234,0.124581,0.08012,0.995113,0.43422,0.096175,0.436839,0.331716,0.845354,0.019294,0.037654,86,0
0.041499,2.158502,0.131068,0.092672,0.062824,0.709183,1.845674,0.688347,0.244205,0.209046,0.801483,0.041749,0.063748,96,0
0.004608,0.808327,-0.128257,0.078856,0.033706,0.912849,0.465794,0.095771,0.540889,0.019601,0.764917,0.020143,-0.370126,46,0
0.02446,1.775728,0.296899,0.386599,0.041643,1.369234,1.424199,0.021623,0.679636,0.041064,0.404359,0.004718,0.284784,24,0
0.005459,4.130734,0.72862,0.034511,0.017022,0.671384,1.420441,0.723885,0.961351,0.12583,0.956616,0.068004,0.160748,13,0
0.024669,1.575371,0.213952,0.0936,0.053207,1.038553,1.570383,0.306691,0.585802,0.076741,0.678541,0.082218,-0.079342,33,0
0.198211,1.126727,0.089972,0.141509,0.255882,1.454413,1.095273,0.0877,0.799943,0.979643,0.79767,0.08538,0.085946,62,0
0.010787,1.585505,0.231041,0.141519,0.024531,0.805253,0.94347,0.251165,0.625642,0.030453,0.645766,0.049256,0.365294,71,0
0.049355,1.208781,0.057088,0.109846,0.080154,0.712297,1.153562,0.175923,0.330523,0.089632,0.449358,0.245027,0.540508,59,0
0.044318,0.920135,-0.062391,0.12924,0.087039,1.809585,0.313063,0.076253,0.718811,0.310908,0.857455,0.010227,0.03038,47,0
0.034935,1.173661,0.125165,0.096258,0.073817,1.640894,1.15579,0.081895,0.845909,0.177013,0.802639,0.003072,-0.211015,62,0
0.009804,1.012042,0.007798,0.123822,0.049812,1.228824,0.630593,0.196792,0.655346,0.062981,0.84434,0.008383,0.060425,22,0
0.038748,0.889014,-0.052801,0.098707,0.063854,0.679284,0.684258,0.265737,0.422944,0.149885,0.741482,0.012948,-0.056734,16,0
0.005699,1.483737,0.178008,0.197484,0.035065,1.291613,1.012529,0.381179,0.545994,0.022721,0.749165,0.000152,-0.491856,22,0
0.06103,1.06057,0.047287,0.098454,0.154119,1.809426,0.131086,0.110338,0.827991,0.560122,0.891041,0.008194,-0.348012,31,0
0.02968,0.944691,-0.019501,0.194788,0.070992,0.70089,0.501046,0.394744,0.333078,0.117462,0.747322,0.010298,0.136716,10,0
0.032169,1.311126,0.231083,0.237619,0.038627,0.75852,0.379684,0.019108,0.973815,0.135073,0.76184,0.034786,0.120239,43,0
4.8E-05,7.275247,0.508896,0.447192,0.003179,0.311838,4.691824,0.240973,0.589991,7E-05,0.322069,0.047475,-1.097889,72,0
0.046333,1.045453,0.029779,0.260477,0.071056,1.0997,0.514252,0.066319,0.684932,0.166348,0.721472,0.035694,0.067085,28,0
0.015577,1.213667,0.124778,0.111127,0.054108,0.730161,0.49982,0.258505,0.70876,0.098893,0.842488,0.003762,-0.266325,1,0
0.102512,1.839313,0.378887,0.377589,0.138797,2.445326,0.876538,0.077478,0.830311,0.217603,0.528903,0.15379,0.259388,21,0
0.030525,1.332569,0.208169,0.134113,0.054322,0.649506,1.145879,0.212325,0.83411,0.188738,0.838266,0.055323,-0.265123,71,0
0.237046,3.235981,0.583556,0.720003,0.332612,2.082907,2.367587,0.016797,0.844541,0.328219,0.277781,0.305136,0.612566,35,0
0.084947,1.435263,0.210984,0.312279,0.110008,0.810641,1.219331,0.083528,0.695711,0.196753,0.568255,0.085175,0.083406,26,0
0.18832,1.274636,0.083522,0.333573,0.216946,0.98954,0.784322,0.351603,0.387639,0.546992,0.655721,0.045982,0.190221,28,0
0.016923,1.307674,0.124842,0.02655,0.023749,0.786312,0.790527,0.118904,0.530603,0.035602,0.524665,0.021467,0.048707,58,0
0.038674,1.860711,0.227577,0.122993,0.067768,0.63434,0.81874,0.294119,0.491982,0.087602,0.558524,0.037638,-0.237378,47,0
0.06058,1.432712,0.183576,0.235133,0.017211,0.628513,1.31343,0.158633,0.607822,0.145234,0.582879,0.006295,0.263749,71,0
0.018257,1.377773,0.20118,0.296183,0.067041,1.736342,0.716299,0.119599,0.733722,0.052485,0.652141,0.154242,0.463356,62,0
0.002896,1.069125,0.046256,0.092417,0.036995,1.105943,0.699389,0.099675,0.715418,0.01253,0.768837,0.010428,-0.001288,17,0
0.111779,2.734048,0.349774,0.467663,0.076567,0.272043,1.586248,0.300979,0.551483,0.224767,0.502688,0.094285,0.301892,72,0
0.013166,2.856457,0.376255,0.249829,0.170532,0.573037,1.582501,0.528951,0.578928,0.049056,0.731625,0.177087,0.056786,72,0
0.048882,1.252376,0.031485,0.038677,0.084993,0.283447,0.873049,0.285329,0.156241,0.082862,0.410085,0.000897,0.251783,38,0
0.064983,1.093103,0.065501,0.221155,0.098109,1.017243,0.958159,0.022437,0.769029,0.237132,0.725964,0.000716,0.04579,62,0
0.134732,1.31758,0.212152,0.233504,0.190052,2.351768,0.647457,0.019096,0.880179,0.430618,0.687123,0.065781,1.401723,73,0
0.130137,5.870045,0.525474,0.620538,0.07874,0.260526,2.669106,0.262302,0.633374,0.206633,0.370201,0.044196,0.239606,72,0
0.034045,3.208973,0.592396,0.103761,0.063511,0.691582,0.667216,0.487533,0.860573,0.139362,0.75571,0.044489,-0.758297,25,0
0.040932,1.253188,0.165612,0.127061,0.120958,3.510816,0.829906,0.141239,0.819716,0.200003,0.795344,0.03974,-0.0797,46,0
0.023555,1.18691,0.095349,0.01831,0.033046,0.694762,1.088825,0.213901,0.60548,0.085352,0.724032,0.211117,-0.213219,25,0
0.000968,1.26168,0.08414,-0.087179,0.036805,0.371341,0.378133,0.620963,0.405677,0.016842,0.9425,0.000135,-0.12179,26,0
0.003331,1.004974,0.004089,0.01368,0.037247,1.098518,0.556019,0.113261,0.82612,0.051478,0.935293,0.005625,-0.195259,25,0
0.00705,2.302745,0.427127,0.137518,0.029144,0.228961,1.224926,0.410219,0.754993,0.026918,0.738086,0.031741,-0.030102,72,0
0.00729,1.846784,0.218086,0.065458,0.017961,0.47116,0.99425,0.555331,0.475633,0.038957,0.812878,0.02876,-0.180602,62,0
0.02645,1.143625,0.040285,0.307686,0.051399,0.895664,0.863443,0.366101,0.320775,0.074843,0.646591,0.008958,0.059688,22,0
0.007134,0.813248,-0.174984,0.015302,0.039346,0.7669,0.676293,0.044762,0.762004,0.39089,0.98175,0.024318,-0.339144,29,0
0.19965,0.703823,-0.176663,0.120028,0.270254,3.420656,0.596363,0.037773,0.419813,0.545863,0.634248,0.000951,0.639258,62,0
0.068599,4.704216,0.414892,0.403208,-0.059996,0.176332,4.642267,0.166896,0.526897,0.095131,0.278901,0.056209,-1.203731,72,0
0.052528,1.611517,0.32959,0.110477,0.072426,2.242186,0.985598,0.338396,0.868562,0.428326,0.877368,0.409342,-0.381315,23,0
0.043406,0.864638,-0.112267,0.035969,0.096694,4.319038,0.530995,0.118571,0.717113,0.833932,0.947951,0.101684,0.477156,71,0
-0.134895,0.92291,-0.043639,-0.149455,-0.12408,1.208509,0.623302,0.17181,0.522435,-0.514639,0.737884,0.05383,-0.070741,45,1
-1.251691,1.214208,0.129301,-1.479493,-1.221359,0.781978,0.281344,0.367385,0.732923,-43.172721,0.971007,0.01172,-1.157849,47,1
0.000341,1.304912,0.203208,-0.004027,0.045945,0.574091,0.344243,0.097164,0.869655,0.00144,0.763611,0.079168,-0.000891,13,1
0.142955,1.655172,0.355221,0.416781,0.212266,1.292294,1.652649,0.273799,0.897401,0.312251,0.54218,0.046968,-0.11112,58,1
0.404381,1.132276,0.035366,-0.808183,0.420146,0.249042,0.770642,1.216382,0.30273,-0.835936,1.483747,0.004374,0.336432,20,1
0.033207,1.09196,0.053214,0.200022,0.088861,1.151905,1.001983,0.217914,0.631872,0.163238,0.796573,0.120776,-0.150996,10,1
-0.193203,0.642859,-0.128234,-0.371044,-0.224663,0.044026,0.341453,0.264532,0.230823,-0.513277,0.623588,1E-05,-0.001322,20,1
-0.213715,1.785263,0.158259,-0.881983,-0.240895,0.042906,1.766959,0.801752,0.359795,64.988199,1.003288,0.158555,-0.280325,61,1
-0.792254,0.808577,-0.153703,0.000785,-0.538643,1.516726,0.665695,0.193942,0.649248,-255.044841,0.996894,0.172853,-0.024009,62,1
