Beneficio neto/Total Activo,Activo Corriente/Pasivo Corriente,(Activo Corriente-Pasivo Corriente)/Total Activo,Beneficio retenido / Total Activo = (Reservas año posterior – Reservas año actual) / Total Activo,(Beneficio neto + Gastos financieros + Impuestos) / Total Activo,Ventas / Total Activo,(Tesorería + Deudores) / Pasivo Corriente,Pasivo no corriente / Total Activo,Activo corriente / Total Activo,Beneficio neto / Patrimonio neto,Total deudas / Total activo,Tesorería / Total Activo,(Beneficio neto + Dotación amortizaciones – Deudores año actual – Existencias año actual + Deudores año anterior + Existencias año anterior) / Total deudas,CNAE,Fracaso
0.078590083,2.335897585,0.22481121,0.384121844,0.132287085,0.57118975,1.635307891,0.436480122,0.393095969,0.198843877,0.604764884,0.039212196,-0.040427533,18,0
5.76461E-05,1.221021587,0.10003568,0.027670704,0.017591629,1.140726192,0.844665853,0.402477296,0.552641617,0.000397787,0.855083231,0.03804309,-0.039256077,25,0
0.109145187,5.7444114,0.53181908,0.224922659,0.057290903,0.631486161,5.434379182,0.477633468,0.643912876,0.266030446,0.589727263,0.170999849,-0.037871322,72,0
-0.078337589,0.961660866,-0.01847200,-0.327159794,-0.083257129,0.56964949,0.528103673,0.536677385,0.463333418,4.238403407,1.018482806,0.022250981,-0.034680907,13,1
0.016319976,1.891701399,0.16791844,0.28400897,0.01768853,0.284100423,1.006024621,0.515375115,0.356230855,0.055076911,0.703687528,0.05668087,-0.032641739,86,0
0.012492255,0.960828025,-0.03029739,0.126456055,0.055199609,1.221972798,0.596831745,0.089620169,0.743148124,0.091228079,0.863065681,0.057414441,-0.032206456,28,0
0.123980293,1.210196779,0.09877459,0.488355094,0.100325268,1.933259892,0.950841885,0.025767135,0.568689422,0.245837519,0.495681972,0.331581115,-0.032191675,46,0
-0.164009002,0.945521847,-0.01946882,-0.251495378,-0.177978206,0.056667527,0.57795804,0.72207936,0.337900479,2.064339481,1.079448658,0.000126663,-0.032169363,16,1
0.006050723,1.147770007,0.10058351,0.076005283,0.072624209,1.005500765,0.693335797,0.218309131,0.78125958,0.059899376,0.898985204,0.009473764,-0.031923046,11,0
0.008356471,0.900680782,-0.06637814,0.100539784,0.04411517,1.048461064,0.536391478,0.18168001,0.601953111,0.055713991,0.850011258,0.007964624,-0.031775233,28,0
0.005538394,1.10552638,0.04671561,0.070610708,0.03899495,0.768605036,0.860785601,0.340249006,0.489406952,0.025515549,0.782940343,0.01373033,-0.030500672,29,0
